PBI,Inspiro PBI link,(Web URL Link accessible to outside inspiro network)
AIRC-BDO Core,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/24756371-14ae-4b33-89f9-e3eb6d97ef0d/4f961e8a4e21ee5d1ebe?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiY2RjMjcxNGYtNzk1MS00MDAyLTk5MzQtYzA0ZDk2ODdmNjAzIiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-BDO Elite,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/6ffff1e0-f473-47a3-bf99-f794cc8ba49f/4f961e8a4e21ee5d1ebe?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiODFjOGFmYWEtNDMzZC00MjZhLTg5YzctY2U1ZjhhYTE2ZWZlIiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-BDO Insure,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/f3737b74-6189-4795-b0dc-454a22ef754e/4f961e8a4e21ee5d1ebe?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiYzMyOTg2ZTUtMDgyNy00ZTMzLWJlNGYtYmVjMTM3NGNlY2EyIiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-BDO Life,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/5be14833-1159-4e30-aa83-9033f8a3bc1b/4f961e8a4e21ee5d1ebe?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiM2NlM2VlODEtOGI2Yi00NjhmLTg0YzEtOWQ0NTMxOTE4ZGM1IiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-BDO MSU,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/dd782e6b-7648-4f3c-ac8d-d08d58a4232f/4f961e8a4e21ee5d1ebe?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiMTFjYzM0NjMtYmY5OC00OTdhLWFiOTYtYmQ4MmE5YTAyYmE0IiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-BDO Non-voice,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/f57c9639-fdb1-4351-8a14-cec0a209e86c/4f961e8a4e21ee5d1ebe?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiZDlkMTk0ZjctMDU5YS00ZWI3LTkwNjgtYjI4NGVmMjRjMDE0IiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-BDO Outsource,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/37972488-7fed-47e1-811e-b856d702d5d3/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiYThlYmVlZjYtYzkyZC00NmNiLTk5OGUtOGViYmE1NzRhMzQwIiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-BDO SMS,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/017e9376-ce0b-4b21-b20a-7271a7785d6a/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiYjBlY2NhNzQtMGFjMi00YzNmLWJkMjMtMmZlODcwYmUwZDA0IiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-BDO Telops,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/9dc88110-91c6-43af-bffd-10457ee2622b/4f961e8a4e21ee5d1ebe?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiNDY4ZmFlZmItZjZhNi00MzM4LTg2N2YtN2JiNzE0NDhlZTc0IiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-BPI CARDS,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/aebe45ae-a7c5-46e0-81dc-bc6ee440e9b8/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiNzA1YTczMmQtNTE3Zi00ODU5LThlMzktYzllYmVjY2Q4YzhiIiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-BPI Non-Voice,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/b00269e1-b876-4918-b2b9-b94156eabe69/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiZDhhZjZiYjUtYWQwMS00N2Q5LThhZjItNDUyOWM2NzI5ODdkIiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-Bridges,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/bdcd3ced-fc5f-4469-86ab-b91af56e8c9d/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiNmRmMzdhMTMtNTQ5Ni00OTBkLTgxYzktNjc5ZmRiZWFkMGI0IiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-Castle Branch Non-Voice,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/074e9a66-9c27-4509-b82d-250b91bbf6df/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiMzVmZGRiOTYtMGNiMi00NjcxLWFhMDgtNWI4NGYyZjRiMzk0IiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-Castle Branch Voice,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/3e9452a3-063a-4b87-a4d4-233794bd973f/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiZWJmZTNkNzYtMzRmMS00YjhjLTk1NjMtOGJkZGQxNjQ3M2NmIiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-Cignal,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/9c534704-cf49-47a2-b08d-85fdea0c0a70/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiNmVlNmQ5ZjEtMmMzYS00MzdlLTgzY2EtNDIzMWEwNDk2N2VkIiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-Coinstar,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/5ee4e68d-4996-4ff0-9d18-27b5006fa543/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiM2ZiYzVlOTQtZTJhMy00OTEyLTkwMzktZDVjZWRmYmU1NDdiIiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-Construct Connect,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/5fe168ca-912d-480d-a5bd-fe9e4c75afca/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiMDA2MGFjYzEtNzk0My00NWZmLWIzNjEtMGRlNWYzMmU2NzgwIiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-CPS,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/56c4e2a9-8448-44ee-a925-9ec7b17f69f5/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiZTJlMDg4ZWUtYTIzYi00MTVmLTk2OWEtMzg0NWUwY2VlNDFmIiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-DISA Voice,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/3ea3e6ea-f268-41aa-9ab6-e4218743fee8/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiNjRmYmYxZDEtZjRkNS00ZThjLTk2MDAtYjAwYzI4YWRhNTRjIiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-DISA Written,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/f365ee62-58ab-4d1e-9d2d-c4c948258a11/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiMjNlM2M3OWMtZmE3NC00MjhmLTlmMzctMWIyN2IyM2I2OTBhIiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-Dish Billing and Credit,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/8b3f748c-0641-4767-8bb1-89f49ff7040c/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiODNlMDlkNzEtMGI0ZC00YTg3LTk1MDEtMTM4MTVjMzIxM2FlIiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-Dish CXO,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/2aef788a-e707-40fe-b679-f070d0696ece/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiZGNlMmNkMWUtMjkyMC00MTIzLThjM2YtZmE2NzRkNGRmNzljIiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-Dish Wireless,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/8b7c6cf0-4d56-4ed0-a1e8-39250ba676b4/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiOGZjN2Q2NTAtODY3My00YjE1LThmNmQtYTlmNzFjMDg3ZDIwIiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-EV Connect,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/81c00206-79f1-4765-a530-4ef6f6ee4213/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiY2E5YjlkMjAtOWRjMS00ODkwLThjNTMtZWJkOTdmMWNkMWY1IiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-Eve's Addiction,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/8bcc23e9-61df-4e84-ac1e-4fae30bb0642/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiNTUzZGNjOTUtNzdiZC00ZWY5LWJiMGItZGI1YzNiNTNjZGJiIiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-Experian,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/4560cd28-f7ed-4633-91a5-f8d74f0b8ea3/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiYjMyZDFlMzctYWNkMS00ZmIxLWJkOGQtYjcxNDc4YTFmY2E1IiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-FC,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/ed1e2c54-e73f-4ffd-b6c5-5271c51b0d00/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiNGIwZWZhM2EtOGU0OC00MWUwLWJkNzktNzA1NTEyZWNhZjI0IiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-FYF,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/b13e410e-4f8e-4e50-b9dc-bcde595eb9f9/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/b13e410e-4f8e-4e50-b9dc-bcde595eb9f9/75e222b29352a864931f?experience=power-bi
AIRC-Glico,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/59ab6ecb-5c21-486d-8f75-50190af2def8/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiNjRkMmIyMjYtODU4NC00YmY5LTk0YmQtMzU3MzI4ODU1OWE2IiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-Grab,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/29dde3a0-d1e0-47da-949c-7d3201395b15/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiNjNmNGFlNTktZjIwNC00NmRlLWFhMTItZmEwMTYzNmZmOGFhIiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
