PBI,Inspiro PBI link,(Web URL Link accessible to outside inspiro network)
AIRC-Meralco Digital,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/7f5a8a52-39cb-44d4-b47c-831d6105671e/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiYTM4NTJiN2YtMGI1MC00NTg0LThjODctZDNjODVkNjI0NzA1IiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-Meralco Voice,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/99cbe0f3-7e53-447b-9f7c-dc2787dca323/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiMzg2YmRlMjQtNDhmNC00NjQ4LWJjMTktMTkzYmVhNDQxNjA4IiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-MKI,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/4ed61dd4-30d7-4a32-a5d5-6ef2bc5709b8/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiNWZlZGZmNjUtYmY5NC00ZjliLThmZDAtMzA0ODZjYmRkYzkxIiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-PACSUN,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/091b0e12-0cb1-4168-a628-c07c0772f839/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiN2EyYTA0MzQtMTJjNi00YzdmLTgyZWEtNmE3Njg5MjZjODM5IiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-Palawan,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/15e4adb8-f10a-4fe4-b054-182e5ef1b7de/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiNjMwODU3NzgtNGQ0Ni00MGEwLTk4YjMtOWZlYjliNTdiODQ3IiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-RCBC IB,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/69e5ad0a-9a9a-46fa-801f-d99307923534/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiYTQxZWQ2ZGYtOTUzOC00MDE1LTkyN2ItOWQwODFlMTU2Y2U0IiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-RCBC Instaloan,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/5edbd32a-68c7-48ae-918f-2c90680b4d6a/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiMzRkY2QzN2UtYzA0YS00ZTMxLWJiMDEtNjM1ZjI1NGRjZWQ4IiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-RCBC OB,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/d5324fcf-5c8e-4eb4-ac51-eb3759fdcab1/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiODM5NjAzMTEtNWQyNy00MzYxLWE2ZWYtZGE4YWY3YTAzYTNmIiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-SBI Remit,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/c68ebbc8-550e-4b70-873d-9afab938f9f1/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiNDY5YzQyYmItMzY2Zi00ZjVmLWI3MzUtY2M4OTcyZmJlNDQ1IiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-Sharkninja,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/c9753b5c-b220-44fe-993d-7471a151dfd4/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiYzUxOWE4NzYtNDliYi00YWRiLWI0Y2QtZDBlMTM5YjRlYjVhIiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-Shopee,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/95788d08-9242-42a9-babf-ed58f8e43d4b/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiZTYxMmQ2ZjktNzAzYy00YmZmLWE5NGQtMDNhMzQxZmIzMTM0IiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-SLMC,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/22f4556c-9488-4160-8b0e-068579e37951/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiMzBmZGI3ODYtNjJmNS00OGE1LTg1YmMtMmVjMTg3NWNmMmI1IiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-Teleflora,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/e64165f4-e8ef-4d53-bcdb-e4bf5d98231e/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiYjY1YzkwYzQtMTFjMy00NWMzLTk5ZGItZWFhNjU2ODYxZWNlIiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-Tenso,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/1eab394b-b525-42b4-aa39-db9d3141241f/240e87e00bb7ab8a3032?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiNDc5OWFlNDItNDhhMy00YjRjLWIyYWYtYjM1OGI3MDIzZDBmIiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-UNIQLO Non-voice,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/5d48060b-3f4f-45af-9365-5ad9a713b6e6/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiYTk1YTkzZTEtYzk3ZC00ZjU2LWE5ZGMtMjc2YmJlZTQ2ZTBlIiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-UNIQLO Universalist,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/9007af3d-b7a0-4d62-b62a-e4d1c35294a0/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiZWJkYWUyYTYtNTk4MS00NjE5LWE4ZDUtOGRjZDcyMDk1OTllIiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-Viagogo,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/19993582-9fae-4257-a86c-ed95ac49cb7f/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiZjBkMTZkYzYtMjhhZS00YzZkLTg1MTUtMGViYjU5OTA4ZDhlIiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
PAL,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/a2779625-cfa7-46ba-b84f-b8314dfb24cc/526e8ff748930c84e01d?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiZGYyOTIwYTQtZmJiNy00MzBlLTkxMGEtYThlNDRjZmYwNDI0IiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
